Algorithm,Iteration,fileSize (kBytes),Encryption Time (s),Decryption Time (s),Decryption Correct
RSA,1,0.128,0.000933,0.000933,True
AES,1,0.128,0.001316,0.000190,True
RSA,1001,128.128,0.734074,0.734074,True
AES,1001,128.128,0.025999,0.031352,True
RSA,2001,256.128,1.417636,1.417636,True
AES,2001,256.128,0.051084,0.061565,True
RSA,3001,384.128,2.160220,2.160220,True
AES,3001,384.128,0.076019,0.091816,True
RSA,4001,512.128,2.876269,2.876269,True
AES,4001,512.128,0.100831,0.121451,True
RSA,5001,640.128,3.540688,3.540688,True
AES,5001,640.128,0.124471,0.150303,True
RSA,6001,768.128,4.247393,4.247393,True
AES,6001,768.128,0.149289,0.179570,True
RSA,7001,896.128,4.964134,4.964134,True
AES,7001,896.128,0.175586,0.212171,True
RSA,8001,1024.128,5.638854,5.638854,True
AES,8001,1024.128,0.209155,0.252805,True
RSA,9001,1152.128,6.475200,6.475200,True
AES,9001,1152.128,0.224492,0.270400,True
